name,booth_number,address,website,linkedin,description,product_categories,link,summary
Curtis International,"LVCC, Central Hall - 16241","7045 Beckett Dr Unit 15 Mississauga, ON L5S 2A3, Canada",https://www.curtisint.com/,Not Available,Curtis International Ltd. has a rich history spanning over three decades. We specialize in the manufacturing and distribution of consumer electronics and home appliances under major licensed brands for retail sale.,"Fitness, Retail/E-Commerce, Smart Home and Appliances, Sourcing and Manufacturing, Streaming",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000000k53J5AAI,
CW Global LLC,"LVCC, South Hall 2 - 36401","14039 South Gessner Road, suite B Missouri City, TX 77489, United States",https://gtmedia.cc/,https://www.linkedin.com/in/gtmedia-tech/,"CW Global LLC, US sub-company of Shenzhen GTMEDIA Technology Co., Ltd., offers a diverse range of products under two major brands, GTMEDIA and GTGUARD. We are dedicated to the innovation in the multimedia field and providing multimedia solutions for homes, mobile, and outdoor spaces to enhance compatibility, practicality, and portability.","Home Entertainment and Office Hardware, Imaging, Retail/E-Commerce, Smart Home and Appliances, Supply and Logistics",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000fHvS6IAK,
"Daiwa by U.S. Jaclean, Inc.","LVCC, Central Hall - 14841","1816 W. 135th St Gardena, CA 90249, United States",https://www.daiwamassage.com/,https://www.linkedin.com/company/daiwa-massage-chairs/about/,"Established in 1982 & Headquartered in Gardena, CA. We offer an assortment of high-quality health & wellness products. Our best sellers Daiwa by U.S. Jaclean, Inc. luxury massage chair collection., Sold nationwide offered by businesses throughout USA at airports, dealerships, offices, & spas. Come by our booth for a great experience!","Home Entertainment and Office Hardware, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=00130000008RqbIAAS,
Dalton Locks,"Venetian Expo, Halls A-D - 53273","8630 N. National ave. Niles, IL 60714, United States",https://daltonlocks.com/,Not Available,Not Available,"Accessibility, Home Entertainment and Office Hardware, Smart Home and Appliances, Travel and Tourism",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000kd3RvIAI,
Danlaw Inc.,"LVCC, North Hall - 8305","41211 Vincenti Court Novi, MI 48375, United States",https://www.danlawinc.com/,https://www.linkedin.com/company/danlaw-inc/posts/?feedView=all,"We are a global leader in connected mobility, electric vehicle chargers and automotive electronics. Our family of 500+ people live, breathe, and create innovative tech for some of the world’s largest automakers. Our world-class connected vehicle solutions make Danlaw one of the largest suppliers of connected gadgets in the world.","Energy Transition, IoT/Sensors, Smart Cities, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000RUKRbIAP,
Davis Instruments,"Venetian Expo, Halls A-D - 53252","3465 Diablo Avenue Hayward, CA 94545, United States",https://www.davisinstruments.com/,https://www.linkedin.com/company/davisinstruments/,"Davis, an AEM company, is the leader in environmental monitoring instruments for commercial & consumer marketplaces. The proven accuracy, durability and flexibility of Davis products, including AirLink, EnviroMonitor, Vantage Pro2 & Vantage Vue, have made them trusted, integral tools for meteorologists, farmers, system integrators & hobby","Energy/Power, IoT/Sensors, Smart Cities, Smart Home and Appliances, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=00130000008RpxSAAS,
"Davolink Co., Ltd","LVCC, North Hall - 10971","112, Beolmal-ro, Dongan-gu Anyang-si, Gyeonggi-do, 14057, South Korea",http://davolink.co.kr/,Not Available,"A company specializing in developing wireless LAN solutions that can be used In homes and businesses based on rich R&D experience. [SUPPLY OVER 1 MILLION UNITS PER YEAR] - [TOTALLY OVER 8.5 MILLION UNITS] - [Wi-Fi DEVELOPMENT OVER 20 YEARS OF EXPERIENCE] - [ENTERPRISE, PUBLIC INSTITUTIONS, SCHOOLS, AND THEM]","5G Technologies, Home Entertainment and Office Hardware, IoT/Sensors, Metaverse, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003OuoKpQAJ,
ddm hopt + schuler,"Venetian Expo, Halls A-D - 51366","7849 Cranford Lane Dublin, CA 94568, United States",https://hopt-schuler.com/,https://www.linkedin.com/in/a-m-tony-pagan-jr-184a7510/,"ddm hopt+schuler is a quality German designer, developer and manufactures of contact and contactless readers, ticket and card dispensers and Encoder switches. Let us share ambitious plans. With our technology, we aim to redefine the HMI market.We target to re-imagine the interaction between humans and machines.","Food Tech, Gaming and Esports, IoT/Sensors, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001W4XRZQA3,
"DEAR ARCH CO.,LTD","Venetian Expo, Hall G - 60219","#208, 28 Dong, KICT, Goyangdaero315, Ilsanse 28 Dong, KICT, Goyangdaero315, Ilsanseo-gu Goyang-si, - 10223, South Korea",https://www.innocube-repair.com/,https://www.linkedin.com/in/han-moo-cho/,Innocube House is an integrated product of software and hardware that comprehensively carries out modular construction from design to construction and maintenance.,"Construction Tech, IoT/Sensors, Smart Cities, Smart Home and Appliances, Startups",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000ll96RIAQ,
DeciZone.com,"LVCC, North Hall - 9443","Contact@DeciZone.com Fremont, CA 94539, United States",https://decizone.com/,https://www.linkedin.com/company/decizone,"Decizone.com streamlines operations using interactive decision trees that work for you by saving time, money & headache. Simplify process work for: Call Center Agent Scripts, Technical Support, Customer Service, Product Troubleshooting, Self Service, Sales Playbook, etc. Simple. No coding. Effective. Automatic. 24x7. Guidance in < 30 sec.","Artificial Intelligence, Digital Health, Enterprise, Smart Home and Appliances, Startups",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001UbZZSQA3,
DEEPX,"LVCC, North Hall - 9045","3003 North First Street ste 316 San Jose, CA 95134, United States",https://deepx.ai/,https://www.linkedin.com/company/deepx-corp/,"DEEPX is a leading AI semiconductor technology company dedicated to driving innovation in the rapidly evolving AI landscape. With their state-of-the-art AI chip product line, DEEPX aims to revolutionize industries such as Robot, Smart City, Surveillance System, and more.","Artificial Intelligence, IoT/Sensors, Robotics, Smart Cities, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003wZCxsQAG,
Demsay Elektronik,"Venetian Expo, Halls A-D - 50759","Sahil mh. Cayirli Sk. No:2/1 Beylikduzu, Istanbul, 34520, Turkey",https://www.demsay.com/,https://www.linkedin.com/company/demsay-elektronik-san.-ve-tic.-a.%C5%9F/mycompany/,"Demsay Elektronik serves customers in Europe, America, and the Middle East, transforming ideas into products. It offers turnkey solutions, including R&D, electronic card design, software, component supply, PCB-A, and testing, meeting customer demands and delivering value-added production.","Digital Health, IoT/Sensors, Smart Cities, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003pR0OBQA0,
"Denentech Electronic Technology Co., Ltd.","LVCC, South Hall 2 - 36422","No.96,Mid Jinghai Road,Shaton District ,Chang'an Town,Dongguan,GuangDong Province,China Dongguan, Guangdong, 523866, China",https://www.denentech.com/,Not Available,"Denentech electronic technology Co.,LTD established in 2003, specializes in manufacture of precision connectors and cables,over 50 design patents, and over 20 years of customized connector and cable solutions.","Artificial Intelligence, Drones, IoT/Sensors, Robotics, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000002UuA5IAK,
Denvix,"LVCC, South Hall 1 - 30835","No. 528, Dongqing Road, Ningbo High-tech Zone Ningbo, 315000, China",https://www.denvix.com/,Not Available,"Denvix is a consumer electronics brand specializes in on-the-go solutions. Denvix has introduced the world's best tire inflator that combines inflation, fast charging and work lighting—all in one device. Recently, Denvix launched a top-tier power bank, PowerX. It is the only 250W fast charging power bank with wireless charging capability.","Accessories, Energy/Power, Home Entertainment and Office Hardware, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000lNXl6IAG,
DeOne Innovation Technology Ltd.,"LVCC, South Hall 1 - 32344","5th Floor, Building B, Banweiyuan, Yongxiang Road, Bantian Street, Longgang District Shenzhen, - 518100, China",https://www.jsaux.com/,Not Available,Not Available,"Accessories, Gaming and Esports, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000It9pwIAB,
"DeRuCCI Healthy Sleep Co., Ltd.","Venetian Expo, Halls A-D - 51752","Science and Technology Avenue No.1, Houjie Town Dongguan, GD 523000, China",https://global.derucci.com/,Not Available,"Guided by its mission to ""Let people sleep better,"" DeRUCCI is a public company founded in 2004 and dedicated to the development of intelligent sleep health systems based on scientific research. In collaboration with renowned international research institutions and medical organizations, DeRUCCI has created a new digital sleep paradigm.","Artificial Intelligence, Digital Health, IoT/Sensors, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V000046PLErQAO,
Digital Integrators Corp.,"Venetian Tower, Hospitality - Venetian Palazzo Hospitality Suites","8019 NW 29th St Doral, FL 33122, United States",https://www.advancelatinoamerica.com/,Not Available,"Technosource HK Ltd offers high quality IT products for Latin America, for distribution with its own brands Advance (PC products) and Teros (gaming products). We are one of the few operations certified ISO 9001:2015 by the British Standards Institution, and we also offer OEM services in Spanish for Latin America.","Audio, Education Tech, Gaming and Esports, Home Entertainment and Office Hardware, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000002OElRIAW,
Direction9,"Venetian Expo, Hall G - 60241","11049 ASPIRE DRIVE RANCHO CUCAMONGA, CA 91730, United States",https://direction9.com/,Not Available,"Direction9 is a software company developing text input technology for content search, where operating footprint/space is limited. Examples of devices compatible with our software include TV remote controls, automobile user-input controls, Smart Glasses/VR, medical devices, gesture control cameras, gaming controllers, and much more.","Accessibility, Smart Home and Appliances, Startups",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V000046Qg8PQAS,
DJB Network LLC,"Venetian Expo, Halls A-D - 54266","650 West Duarte Road Ste 209 C&D Arcadia, CA 91007, United States",https://www.irelaxbot.com/,Not Available,"iRelaxBot offers a comprehensive solution for holistic therapy and medical rehabilitation, bringing professional-grade therapy into your home and business. Regular use can lead to significant improvements in physical health, mental well-being, and overall quality of life.","Digital Health, Robotics, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000002qPilIAE,
"Dong-Guan Sheng-Yu Electronic Technology Co.,Ltd.","LVCC, South Hall 3 - 40271","No.9, Jing-Mei 4th Industrial Distric DongKeng DONGGUAN, 523451, China",https://www.dgjfyco.com/,Not Available,"JFY is a professional manufacturer with more than 34 years history in field of linear/High frequency transformer, choke, coil, inductors and adaptors. Our factory obtained ISO9001, ISO14001, we produce as per international standards and norms, no mater ASTM, EN or JIS. *1987 established head office--Just-For-You Enterprise Co.,Ltd in","Audio, Energy/Power, Robotics, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000005wDDKIA2,
"Dongguan Aohai Technology Co.,Ltd","LVCC, South Hall 1 - 30166","Aohai science and technology park, no. 6, zhenlong east road, jiaoyitang, tangxia town, dongguan city. Dongguan, 523710, China",https://www.aohaichina.com/,Not Available,"AOHAI Technology (stock code 002993) is a global company dedicated to the efficient application of energy. Founded in 2004, and after nearly 20 years of development, we have established 15 branches with more than 7,000 AOHAIers worldwide.","Accessories, Energy/Power, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KYVNRAA5,
"Dongguan City Tianhua Photoelectric Technology Co,","LVCC, South Hall 3 - 41250","2nd Road, JinQianLing Industrial Zone DONGGUAN, 523757, China",http://www.tianhualighting.com/,Not Available,"Dongguan City Tianhua Photoelectric Technology Co., Ltd. is founded in 2009, is located in HuangJiang town, Dongguan City, It covers about 28,000 square meters. Tianhua Brand is specialized in the LED lighting item, such as LED pendant lamp, LED table lamp, LEDfloor lamp, LED tube, LED panel light, LED bulb, fiber optic lights, plasma la","Gaming and Esports, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003Q4wz3QAB,
Dongguan Dongqing Plastics & Electronics Co.Ltd,"LVCC, South Hall 3 - 42003","No.1,Rd.3 Yangwu, Xiasha, Shipai Dongguan, Guangdong, Guan 523000, China",http://www.winner3c.com/,Not Available,"Dongguan Dongqing Plastics & Electronics Co. Ltd was founded in 2000, in Dongguan Guangdong, China. Our product lineup is divided into several segments: gaming accessory, mobile accessory, battery management system and Input/output peripheral. All our products are meet FCC, CE and RoHS standards.","Accessories, Energy/Power, Gaming and Esports, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00002JH8bkQAD,
"Dongguan Dongsong Electronic Co., Ltd.","LVCC, South Hall 1 - 32620","No. 19 Xintian Street Baizhoubian, East District DONGGUAN, 523113, China",https://www.dys-cn.com/,Not Available,"Dongsong Electronic is a manufacturer of AC power adapter, PD charger, Inverter, Battery charger, IP67 waterproof power supply, Vehicle charger/charging station and Open frame power supply.","Accessories, Energy/Power, Home Entertainment and Office Hardware, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00001zm9GFQAY,
"Dongguan Fengrui Electronics Technology Co., Ltd.","LVCC, South Hall 1 - 32356","Ma'an Road, Shuiwei Industrial Park, Shuiwei Villager Group Tangjiao Village, Chashan Town Dongguan, Guangdong, 523393, China",http://www.fengruielectronic.com/,Not Available,"Founded in 1993, we specialize in headphone PCB boards, wires, and speakers. With a 17,000 sqm factory, we pioneered internet café headphones and launched the ZIDLI and GPTX brands. Our ISO-certified operations and strategic partnerships drive innovation and high-quality production.","Accessories, Audio, Gaming and Esports, Home Entertainment and Office Hardware, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001axUSzQAM,
"Dongguan Jinconn New Material Holdings Co.,Ltd","LVCC, South Hall 3 - 40671","Xiaohe Industry Park Dongguan,Guangdong, 523170, China",https://www.jinconn.com/,Not Available,"Dongguan Jinconn New Material Holdings Co., Ltd. was established in 2011. It is a national high-tech enterprise integrating the research and development, production and sales of rare earth permanent NdFeB magnet products. Jinconn has obtained provincial certification of ""Specialized and sophisticated enterprises.","AR/VR/XR, Robotics, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00001zm9GhQAI,
"Dongguan Keewey Electrical technology co., ltd.","LVCC, South Hall 3 - 41277","Room 301, Building 1, No.1, Yongtai 1st Street, Shebei Village,Huangjiang Town Dongguan City,Guangdong Province, Dongguan, Guan 523752, China",https://ikeewey.com/,Not Available,"Established in Dongguan City, Guangdong, our factory combines R&D with production. with over 10 years of extensive experience in innovative electronic products and small appliance design and manufacturing. Our key products include the Tornado Cleaning Brush, wine dispenser, and electric shaker bottle, focusing on innovation and quality.",Smart Home and Appliances,/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000j5LRmIAM,
"Dongguan Laifen Electronic Technology Co.,Ltd","LVCC, South Hall 1 - 31112","10A, Hony Tower, No.1 Jinrong Street, Qianhai Nanshan Shenzhen,Guangdong, 518052, China",https://www.laifentech.com/,https://www.linkedin.com/company/laifen,"Founded in 2019, Laifen is an innovative lifestyle-tech company with years of experience in R&D. Currently, Laifen's advanced and efficient personal care appliances can be found in over 11 million households worldwide. Laifen is committed to continuously developing new technologies to provide user with expectional experience.","Digital Health, Lifestyle, Retail/E-Commerce, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003Ax6l4QAB,
"Dongguan Mks Electronic controls co., ltd.","LVCC, South Hall 3 - 41636","Hanlong Industrial Park, No.4 Zhonglian Road DONGGUAN, GUAN 523000, China",http://www.mksdg.net/,Not Available,"MKS was set up intheyear 2008 specializing in design/produce/manufacture Electric consoleandautomationsolution systemfor fitness,HomeAppliance,Smart Home,Automation Controls soforth There are more than 10 series products include consolefor treadmill exercise bike,controldriver for BLDC motors.","Home Entertainment and Office Hardware, Robotics, Smart Home and Appliances, Sourcing and Manufacturing, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000kpOSdIAM,
"Dongguan Togran Electronics Technology Co., Ltd.","LVCC, South Hall 1 - 32353","NO.110, SHIDAN MIDDLE ROAD Shijie Town Dongguan, Guangdong, 523290, 523290, China",http://www.togran.com/,Not Available,"Founded in 2002, it mainly produces computer peripheral products such as mouse, keyboard, headset and Gamepad, Conform to Environmental protection Directive of RoHS FSC Directive 2011/65/EC, PAHs , Phthalates, PFOS and REACH and so onAll models are uniquely-designed and made in-house3,200,000 units monthly capacity (Maximum)","Accessories, Content and EntertaInment, Gaming and Esports, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001KYVQKAA5,
"Dongguan Xiaochuang Electronic technology co.,ltd.","LVCC, South Hall 3 - 40753","Room 901, No.12, Lane 11, Wenming Road,Nanzha, Humen Dong Guan, 523899, China",http://www.xc-electronictech.com/,Not Available,"Our company specializes in producing electronic products and accessories, household appliances, plugs, sockets, and chargers. Having multiple invention patents and technologies, exporting globally.","Accessibility, Fashion Tech, Smart Cities, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000hPHPzIAO,
"Dongguan Xinsu Technology co.,ltd","LVCC, South Hall 3 - 40656","Room 502, Building 9, No.1 Xuefu Road, Songshan Lake Park Dongguan Guangdong, Guan 523833, China",https://we-link.tech/,Not Available,"Dongguan Xinsu Technology Co.,Ltd， with investment of 25 million U.S. dollars, our company focus on robot vacuum cleaners and intelligent handheld cleaning products, from software program, design products structure to mass production.","Fitness, Robotics, Smart Home and Appliances, Sports",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000jb2sAIAQ,
"Dongguan Yutong Optical Technology Co.,Ltd","LVCC, South Hall 1 - 31564","No.99 East Jinghai Road, Chang'an Town, Dongguan, 523863, China",https://www.ytotglobal.com/,Not Available,"Dongguan Yutong Optical Technology Co., Ltd. is a professional optical solution provider, focusing on the research and development, production, marketing and after-sales service of optical products, and providing optical products and technical support to customers around the world.","Smart Cities, Smart Home and Appliances, Video",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001hEi5kQAC,
"Dongguan Zhenzhi Supply Chain Co., Ltd","LVCC, South Hall 1 - 32354","Room 201, Building 3, No. 67, Qingxi Section Dongguan, 523000, China",https://www.tvcmall.com/,https://www.linkedin.com/company/tvcmall,"TVCMALL is a one-stop B2B wholesaler for global customers, serving 1.5 million+ users and 3,000+ partners across 200+ countries and regions worldwide. We have 1 million products online and 10000 new products per week, with wholesale, dropshipping, customization and sourcing services.","Accessories, Fitness, Lifestyle, Retail/E-Commerce, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000002GsL8IAK,
"Dongguan Zhongjin Electronics Technology Co., Ltd.","LVCC, South Hall 3 - 41651","3rd Floor,Building A, DongXing Industrial Park, Kangle Rd., Dongguan Guangdong, 523460, China",https://www.ocstat.com/,https://www.linkedin.com/in/ocstat-thermostat/,"Dongguan Zhongjin Electronics Technology Co., Ltd. (Ocean Controls Limited) is a reliable manufacturer with more than 15 years of experience on room thermostat developing & producing in China. Our current business primarily revolves around OEM and ODM to all range of digital thermostats and HVAC controls.","Accessories, Construction Tech, Energy/Power, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000002awkRIAQ,
"Dongguangshi Disheng Technology Electronic Co.,Ltd","LVCC, South Hall 1 - 30153","No.525 Intelligent industry zone, Jinxing Road Fushan Village, Liaobu District, Dongguan, Guangdong, 523400, China",https://www.dishengtech.com/,https://www.linkedin.com/company/42763494,"Dongguanshi Disheng Technology Electronic Co., Ltd was founded in 2016 and has been specializing in all kinds of smartphone screen protectors and mobile phone accessories such as chargers and cables. We produce high-quality various kinds of brands of mobile phones and tablets in the markets.One-stop services are offered.","Accessories, Energy/Power, Gaming and Esports, Home Entertainment and Office Hardware, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003Avrp1QAB,
"Dongwoon Anatech Co., Ltd.","Venetian, Lvl 3 - San Polo 3402","13th Floor Pyeonghwa Building, 22 Banpo-daero Seoul, 06716, South Korea",http://www.dwanatech.com/,Not Available,"Dongwoon Anatech, established in 2006, is a fabless semiconductor company with core semiconductor technologies in the fields of smartphones, automobiles, and robots, based on low-power, high-efficiency semiconductor technology.","Energy/Power, Imaging, IoT/Sensors, Smart Home and Appliances, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001eXwvMQAS,
DotDot,"Venetian Expo, Hall G - 60711","9 avenue Paul Verlaine Grenoble, AURA 38000, France",https://shareyourgbs.com/,https://www.linkedin.com/company/dotdotmesh,"#dotdot is a platform for the anonymous P2P trading of unused GB's of mobile internet access: #doters' purchase a pocket-size WiFi hub that they pair with the hotspot of their smartphone, and create a WiFi named ""#dotdot"" ca. 75 m around them. Anyone within range can see this WiFi and purchase any quantity of GB's for sale, anonymously.","Lifestyle, Smart Cities, Smart Home and Appliances, Startups, Travel and Tourism",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000g7nHOIAY,
Dream Glass S.L,"LVCC, West Hall - 3274","Calle Canada 15, Paracuellos de Jarama Madrid Madrid, 28860, Spain",https://www.dreamglassgroup.com/,https://es.linkedin.com/company/dream-glass-group,"Dream Glass Group is a market technology leager forDynamic Smart Film & Glass in the fields of Automotive, Smart Cities and Smart Construction Industries. D&K Automotive Glass is a market leader and solution provide for OEM and Tier 1 for prototyping, engineering and technology innovation.","Construction Tech, Smart Cities, Smart Home and Appliances, Sustainability, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000j16rTIAQ,
"Dreame Innovation Technology (Suzhou) Co., Ltd","Venetian Expo, Halls A-D - 52632","E3, Building 16, No. 2288, Wuzhong Avenue, Yuexi, Suzhou, 215104, China",https://global.dreamtech.com/,https://www.linkedin.com/company/14617505,Dreame Technology specializes in the R&D of smart home appliances to make intelligent and healthy lifestyles easily accessible to global consumers. Dreame has grown into a technology leader—pioneering a series of innovative advancements including high-speed motor and multi-cone cyclone separation and vacuum and robot vacuum technology.,"IoT/Sensors, Lifestyle, Robotics, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001a1WrSQAU,
"Duen Yih Metal industrial co., ltd","LVCC, South Hall 3 - 41909","No. 116, Zhangcao Rd., Xixing Vil. Changhua City, Taiw 500, Taiwan",http://www.dandylocks.com/,Not Available,"DANDY was founded in 1973 by Chairman Shi Nanzao. Starting from the production of a single product, we then devoted ourselves to the development of multi-functional, specialized and complete sets of door lock products, and successfully designed more than a thousand products, becoming a professional hardware door lock manufacturing company","Fashion Tech, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000ixO1pIAE,
Durin,"Venetian Expo, Hall G - 60454","440 N Wolfe Rd Sunnyvale, CA 94085, United States",https://www.durin.ai/,https://www.linkedin.com/company/durinai/,Durin is building next-gen context-aware access for ultimate convenience and always-on security.,"Artificial Intelligence, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000buF5cIAE,
e-peas,"Venetian Expo, Halls A-D - 50752","Boulevard Baudouin 1er, N°19 Ottiginies-Louvain-la-Neuve, - 1348, Belgium",https://e-peas.com/,https://www.linkedin.com/company/e-peas/,We provide industry leading energy harvesting and processing solutions – AEMs & Microcontrollers – to give infinite battery life to your wireless device by increasing the amount of harvested energy and by drastically reducing the energy consumption of all power consuming blocks of the system,"Energy/Power, Home Entertainment and Office Hardware, IoT/Sensors, Smart Home and Appliances, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000gWOOwIAO,
E-Song Digital Limited,"LVCC, South Hall 1 - 31835","8F, Block A, Xintian CBC Shixia North 2nd Street Futian District, Shenzhen, 518017, China",Not Available,https://www.linkedin.com/showcase/82373886/admin/dashboard/,"Founded in 2004 with 20 years experience, E-Song has been a leading solution provider and manufacturer of Audio/Video &IoT with AI, i.e Vehicle Mobile DVR, Body Worn Camera , IoT applications in different fields, as well as AI SaaS with self-developped AI model training tool, Multimodal Video Search Engine, AGI production tool etc.","Artificial Intelligence, IoT/Sensors, Smart Home and Appliances, Vehicle Tech and Advanced Mobility, Video",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013000001NBOTzAAP,
"Eastern Silk Road (Shenzhen) Electronic Co., Ltd.","LVCC, South Hall 1 - 30115","Room 1601, Building 1D, Section 1, Creative City, Liuxian Avenue, Nanshan District Shenzhen, Guangdong, 518055, China",https://www.esrgear.com/,https://www.linkedin.com/company/10193276/admin/,"Founded in 2009, and now with a user base of over 100 million people worldwide, ESR is a leading brand of mobile accessories and the #1 brand for MagSafe accessories. From cases that do more than protect to wireless chargers that reimagine what's possible with MagSafe, we're on a mission to make tech easier to use.","Accessories, Home Entertainment and Office Hardware, Lifestyle, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001a116xQAA,
EatFigo,"Venetian Expo, Hall G - 60652","418 E 59th St New York, NY 10022, United States",https://eatfigo.com/,Not Available,"Unveiling at CES 2025 – Figo a refrigerator that cooks your food with the precision of a personal chef. Designed for the fast-paced lives of modern food lovers, Figo takes sous vide cooking to the next level. Simply load, chill, and walk away. Figo takes care of the rest, so you come home to perfectly cooked meals, every time. EatFigo!","Fitness, Food Tech, IoT/Sensors, Lifestyle, Smart Home and Appliances",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000fB9JjIAK,
Eaton,"LVCC, North Hall - 10341","1000 Eaton Boulevard Cleveland, OH 44122, United States",https://www.eaton.com/,https://www.linkedin.com/company/eaton/,"Eaton is an intelligent power management company dedicated to improving the quality of life and environment for people everywhere. By capitalizing on the global growth trends of electrification and digitalization, we're accelerating the planet's transition to renewable energy, helping to solve the world's most urgent power challenges.","Energy/Power, Smart Cities, Smart Home and Appliances, Sustainability, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001TNB9tQAH,
Eccotemp,"Venetian Expo, Halls A-D - 53353","315-A Industrial Road Summerville, SC 29483, United States",https://www.eccotemp.com/,https://www.linkedin.com/company/eccotemp,"Eccotemp is redefining the future of water heating. We specialize in smart tankless water heaters that bring unparalleled efficiency, convenience, and intelligence to modern homes. Our products seamlessly integrate with smart home systems, offering remote control, real-time monitoring, and energy optimization at your fingertips.","Retail/E-Commerce, Smart Home and Appliances, Sourcing and Manufacturing",/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000IuLlpIAF,
ECM PCB Stator Tech,"LVCC, North Hall - 8453","10 Charles Street Needham Heights, MA 02494, United States",https://pcbstator.com/,https://www.linkedin.com/company/e-circuit-motors/,"ECM is an electric motor design and software company. ECM's advanced Motor CAD SaaS, PrintStator, enables the rapid design and manufacture of customized, premium efficiency PCB Stator motors and generators for multiple applications: Consumer Electronics, HVAC, Smart-Home Appliances, E-Mobility, Medical, Robotics, Aerospace and more.","Robotics, Smart Home and Appliances, Space Tech, Sustainability, Vehicle Tech and Advanced Mobility",/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00002JIhLgQAL,
Ecobee,Venetian Tower - Suite 29-315,"207 Queens Quay West Ste. 600 Toronto, - M5J 1A7, Canada",https://www.ecobee.com/,https://www.linkedin.com/company/ecobee/,"ecobee was founded in 2007 with a mission to improve everyday life while creating a more sustainable world. Today, ecobee continues to innovate with smart home solutions that solve everyday problems with comfort, security, and conservation in mind. In 2021, ecobee joined Generac to deliver a cleaner and more sustainable energy future.","Energy/Power, IoT/Sensors, Smart Home and Appliances, Sustainability",/8_0/exhibitor/exhibitor-details.cfm?exhid=0013A00001ax8ESQAY,
